material_id,formula,A,formation_energy_eV_atom,hull_eV_atom,band_gap_eV_audit_only,nsites_audit_only,source,Sn_fraction,O_fraction,A_fraction,entropy,mean_Z,std_Z,A_weighted_Z,mean_atomic_mass,std_atomic_mass,A_weighted_atomic_mass,mean_X,std_X,A_weighted_X,mean_atomic_radius,std_atomic_radius,A_weighted_atomic_radius,mean_row,std_row,A_weighted_row,mean_group,std_group,A_weighted_group,mean_mendeleev_no,std_mendeleev_no,A_weighted_mendeleev_no,mean_electron_affinity,std_electron_affinity,A_weighted_electron_affinity,mean_ionization_energy,std_ionization_energy,A_weighted_ionization_energy,struct_volume_per_atom,struct_density,struct_axis_ratio_mid,struct_axis_ratio_long,struct_angle_deviation
mp-1006619,Sn3PO6,P,-2.021807798,0.118147142,0,40,Materials_Project,0.3,0.6,0.1,0.897945725,21.3,18.9,1.5,48.3100162,46.29565248,3.0973762,2.871,0.699720659,0.219,0.895,0.38173944,0.1,3,1.341640786,0.3,15.3,0.9,1.5,94.5,8.188406438,9,1.284949758,0.237838929,0.074660911,11.422677,2.823172178,1.0486686,16.6811616,4.809057734,2.220111665,2.506083962,6.84203431
mp-1018639,TiSnO3,Ti,-2.596588785,0.160125448,1.0452,5,Materials_Project,0.2,0.6,0.2,0.950270539,19.2,16.32666531,4.4,42.91504,39.85662529,9.5734,2.764,0.83851297,0.308,0.93,0.404474968,0.28,3,1.264911064,0.8,13.2,4.664761516,0.8,87.4,19.48948434,10.2,1.114190827,0.536629218,0.015109,11.0052406,3.204185293,1.365624,12.33281952,5.778248869,1,1,0
mp-1024073,K2Sn3O7,K,-2.08584631,0,1.567295963,48,Materials_Project,0.25,0.583333333,0.166666667,0.959614794,20.33333333,17.57997598,3.166666667,45.52686667,43.0630013,6.516383333,2.633333333,1.020272295,0.136666667,1.079166667,0.614565678,0.366666667,3.083333333,1.320248293,0.666666667,13,5.431390246,0.166666667,81.33333333,32.77787194,1.666666667,1.213909976,0.350482014,0.083576522,10.50328887,3.805841414,0.723443955,14.75666036,5.123052157,4.046469381,5.35083976,0
mp-1041027,SnP2O7,P,-2.359908053,0.166633542,1.8744,40,Materials_Project,0.1,0.7,0.2,0.801818553,13.6,12.44347218,3,29.2653324,30.39421123,6.1947524,3.042,0.61084859,0.438,0.765,0.277533782,0.2,2.5,0.921954446,0.6,15.6,0.663324958,3,97,6.371812929,18,1.283307927,0.287526704,0.149321822,12.3643675,2.079865747,2.0973372,14.19888035,3.422539422,1.252145672,1.352285962,5.783624948
mp-1041231,Sn3P3O13,P,-2.337786285,0.085313512,0,38,Materials_Project,0.157894737,0.684210526,0.157894737,0.842543433,15.73684211,15.04674158,2.368421053,34.58123611,36.82153873,4.890594,3.008947368,0.637774872,0.345789474,0.797368421,0.316840357,0.157894737,2.631578947,1.08630355,0.473684211,15.52631579,0.751729308,2.368421053,96.42105263,7.02113943,14.21052632,1.293184561,0.267664441,0.117885649,12.13297511,2.357597095,1.655792526,14.81615832,3.875734336,1.170338037,1.669053417,2.35544788
mp-1041400,MgSn4O9,Mg,-2.039553011,0.206807893,0.7709,28,Materials_Project,0.285714286,0.642857143,0.071428571,0.830471712,20.28571429,18.82031035,0.857142857,45.93854286,46.07286198,1.736071429,2.865,0.786935739,0.093571429,0.907142857,0.412248687,0.107142857,2.928571429,1.334395835,0.214285714,14.42857143,3.559981656,0.142857143,93.85714286,9.87679201,5.214285714,1.227021258,0.482458319,-0.03,11.39888593,2.978204677,0.546159714,12.03920576,6.336194148,1.609833243,1.609833243,0
mp-1041407,ZnSn4O9,Zn,-1.816676455,0.245579423,0.3851,28,Materials_Project,0.285714286,0.642857143,0.071428571,0.830471712,21.57142857,18.82518938,2.142857143,48.87454286,45.9101045,4.672071429,2.889285714,0.742567595,0.117857143,0.896428571,0.398418429,0.096428571,3,1.362770288,0.285714286,15.14285714,1.245399698,0.857142857,94.07142857,9.445061338,5.428571429,1.212735544,0.531485504,-0.044285714,11.52374029,2.852242214,0.671014071,12.13426251,6.688341191,1.610389608,1.610389608,0
mp-1041436,CaSn4O9,Ca,-2.155890061,0.161260887,0.7579,28,Materials_Project,0.285714286,0.642857143,0.071428571,0.830471712,20.85714286,18.68099547,1.428571429,47.06518571,45.7215843,2.862714286,2.842857143,0.833370339,0.071428571,0.928571429,0.448694251,0.128571429,3,1.362770288,0.285714286,14.42857143,3.559981656,0.142857143,89.78571429,21.97459108,1.142857143,1.258774901,0.375866997,0.001753643,11.28938018,3.138067277,0.436653962,12.62163828,6.192031323,1.625583557,1.625583557,0
mp-1041506,Zn(SnO2)2,Zn,-1.757593738,0.123789032,1.2282,14,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,23.14285714,18.54283513,4.285714286,52.4038,45.13991091,9.344142857,2.761428571,0.789365542,0.235714286,0.95,0.405321742,0.192857143,3.142857143,1.355261854,0.571428571,14.85714286,1.456862718,1.714285714,92.28571429,10.29166495,10.85714286,1.064084617,0.704198867,-0.088571429,11.22203614,2.83811361,1.342028143,14.40424899,6.041172797,1,1,19.83772798
mp-1041556,Ca(SnO2)2,Ca,-2.310803096,0.079508338,1.6599,14,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,21.71428571,18.34365819,2.857142857,48.78508571,44.96729823,5.725428571,2.668571429,0.938744276,0.142857143,1.014285714,0.490418397,0.257142857,3.142857143,1.355261854,0.571428571,13.42857143,4.746642207,0.285714286,83.71428571,28.73879551,2.285714286,1.156163331,0.486446595,0.003507286,10.75331592,3.329650289,0.873307924,15.93821339,5.08272406,1,1,19.94041344
mp-1041577,Sn(WO4)2,W,-2.067069726,0.101051262,2.6737,22,Materials_Project,0.090909091,0.727272727,0.181818182,0.759547392,23.81818182,26.49808975,13.45454545,55.8532,67.02701101,33.42545455,3.109090909,0.549271494,0.429090909,0.813636364,0.349734256,0.245454546,3,1.651445648,1.090909091,14,3.813850357,1.090909091,91,17.7251747,10,1.312179607,0.253858925,0.148454695,12.00149255,2.642938905,1.429823636,13.05832141,7.102476473,1.154464085,2.114186364,9.076188504
mp-1041671,Sn(WO4)2,W,-2.01012121,0.157999778,3.2506,11,Materials_Project,0.090909091,0.727272727,0.181818182,0.759547392,23.81818182,26.49808975,13.45454545,55.8532,67.02701101,33.42545455,3.109090909,0.549271494,0.429090909,0.813636364,0.349734256,0.245454546,3,1.651445648,1.090909091,14,3.813850357,1.090909091,91,17.7251747,10,1.312179607,0.253858925,0.148454695,12.00149255,2.642938905,1.429823636,15.5115721,5.979176064,1.068069872,1.30677326,12.21921052
mp-1041676,Zn(SnO2)2,Zn,-1.641420176,0.239962594,0.1378,14,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,23.14285714,18.54283513,4.285714286,52.4038,45.13991091,9.344142857,2.761428571,0.789365542,0.235714286,0.95,0.405321742,0.192857143,3.142857143,1.355261854,0.571428571,14.85714286,1.456862718,1.714285714,92.28571429,10.29166495,10.85714286,1.064084617,0.704198867,-0.088571429,11.22203614,2.83811361,1.342028143,16.10782437,5.402253906,1.000000025,1.000000025,36.70958853
